species,family,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,Class,iucn_category,pred_50,pred_05,pred_95,pred_25,pred_75,observed_homerange,predicted_homerange,predicted_pld,observed_pld,home_range,pld,magnitude_homerange,month_pld,class,class2,class3,spec_code,genus,order,ocean,basin,food_i,food_mode,temp_min,temp_max,climate,body_shape_i,temp_cons,sp_richness,circadian,dev_place,longevity_wild,temp_preferred,fecundity_mean,oxygen_cons,temp_range
Albula vulpes,Albulidae,1525000,habitat_lagoon,reef-associated,104,bonefish,847.2094178,0.463332904,3.73,Actinopteri,NT,0.029410133,0.029410133,69.37218463,0.004257833,0.3026,0.65,0.06338311,30.63762531,NA,0.65,30.63762531,-1,2,2,2: low/mid,2,228,Albula,Albuliformes,"Atlantic, Indian Ocean, Pacific",Both,"nekton, zoobenthos",generalist,NA,NA,"subtropical, Subtropical, temperate, Temperate, tropical, Tropical",fusiform / normal,20.6,13,NA,planktonic,NA,26,2885045.223853211,290.5,NA
Alepes djedaba,Carangidae,8030000,habitat_reef,reef-associated,40,NA,261.8920556,1.017167166,3.379632579,Actinopteri,LC,0.190553387,0.190553387,69.37218463,0.002075459,0.32,NA,0.054001206,37.50322986,NA,0.054001206,37.50322986,-2,2,2,2: low/mid,2,1889,Alepes,Carangiformes,"Atlantic, Indian Ocean, Mediterranean and Black Sea, Pacific",Both,"detritus, nekton, zoobenthos",generalist,NA,NA,"subtropical, Subtropical, temperate, tropical, Tropical",fusiform / normal,NA,147,NA,planktonic,20.363636363636363,27,2885045.223853211,6715.0254549090905,5.222222222222222
Allocyttus niger,Oreosomatidae,2897500,habitat_deep,bathypelagic,47,NA,53915.20279,0.064718913,3.566415446,Actinopteri,NA,0.222006046,0.222006046,47.26664184,0.02836049,0.75925,NA,0.070330321,57.42709887,NA,0.070330321,57.42709887,-2,2,2,2: low/mid,2,12962,Allocyttus,Zeiformes,"Indian Ocean, Pacific",Both,"nekton, plants, zoobenthos, zooplankton",generalist,NA,NA,"polar, Subtropical, temperate, Tropical",short and / or deep,NA,10,nocturnal,2002-03-26T00:00:00Z,100,9,2885045.223853211,NA,NA
Allothunnus fallai,Scombridae,48347500,pelagic oceanic,pelagic oceanic,105,NA,451.3659255,0.596518223,3.7,Actinopteri,LC,5.55,5.55,91382,0.027348309,23.22898081,NA,3.124797092,30.69430762,NA,3.124797092,30.69430762,0,2,6,5: mid/mid,5,91,Allothunnus,Scombriformes,"Atlantic, Indian Ocean, Pacific",Both,"nekton, others, zoobenthos, zooplankton",generalist,NA,NA,"subtropical, Subtropical, temperate, tropical, Tropical",fusiform / normal,NA,54,NA,2002-03-26T00:00:00Z,12.33529416252585,24.90909090909091,2885045.223853211,524.3454545454546,13.476923062251169
Alosa fallax,Clupeidae,2272500,migratory,pelagic neritic,60,NA,40.65587962,0.806181057,4.03,Actinopteri,LC,0.021204,0.021204,69.37218463,0.0013065,0.235587588,NA,0.076854902,35.56004388,NA,0.076854902,35.56004388,-2,2,2,2: low/mid,2,5355,Alosa,Clupeiformes,"Atlantic, Mediterranean and Black Sea",East,"detritus, nekton, zoobenthos, zooplankton",generalist,NA,NA,"boreal, polar, subtropical, Subtropical, temperate, Temperate, tropical",fusiform / normal,NA,190,diurnal,planktonic,25,12.2,2885045.223853211,576.7602106451614,22
Alosa immaculata,Clupeidae,90000,migratory,pelagic neritic,39,NA,984.1313685,0.989034626,3.98,Actinopteri,VU,0.0013065,0.0013065,42.10249306,6.45e-6,0.021204,NA,0.007108207,36.54466663,NA,0.007108207,36.54466663,-3,2,2,2: low/mid,2,105,Alosa,Clupeiformes,Mediterranean and Black Sea,NA,"nekton, zoobenthos",generalist,NA,NA,"subtropical, temperate, Temperate",fusiform / normal,NA,190,NA,planktonic,7,13,45868.5,576.7602106451614,22
Alosa pseudoharengus,Clupeidae,887500,habitat_coastal,pelagic neritic,40,NA,24511.5196,1.842742708,3.39,Actinopteri,LC,0.218337659,0.218337659,69.37218463,0.021204,0.419377278,NA,0.063103996,29.96572933,5.484285714,0.063103996,5.484285714,-2,1,4,1: mid/low,1,1583,Alosa,Clupeiformes,Atlantic,West,"nekton, plants, zoobenthos, zooplankton",generalist,NA,NA,"boreal, Subtropical, temperate, Temperate",fusiform / normal,NA,190,NA,in close association with substrate,9,8,102800,576.7602106451614,22
Alosa sapidissima,Clupeidae,690000,pelagic oceanic,pelagic neritic,76,NA,4287.867606,1.012650669,3.48,Actinopteri,LC,0.060991803,0.060991803,69.37218463,0.020686774,1.699264547,NA,0.090600331,31.1198105,8.916666667,0.090600331,8.916666667,-2,1,4,1: mid/low,1,1584,Alosa,Clupeiformes,"Atlantic, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,NA,NA,"boreal, Boreal, polar, Subtropical, temperate, Temperate",fusiform / normal,NA,190,NA,planktonic,13,10,265500,576.7602106451614,22
Amblygaster sirm,Clupeidae,9910000,habitat_coastal,reef-associated,27,NA,71364.80881,1.416628191,2.978049609,Actinopteri,LC,2.14e-4,2.14e-4,10.48565514,8.13e-6,0.259189177,NA,0.011118755,46.50725303,NA,0.011118755,46.50725303,-2,2,2,2: low/mid,2,1501,Amblygaster,Clupeiformes,"Indian Ocean, Pacific",Both,"plants, zooplankton",generalist,NA,NA,"subtropical, Subtropical, temperate, tropical, Tropical",fusiform / normal,NA,190,NA,2002-03-26T00:00:00Z,8,20.13157894736842,2885045.223853211,576.7602106451614,13.575
Ammodytes personatus,Ammodytidae,1835000,habitat_coastal,demersal,15,NA,2935070.704,0.344053886,3.1525,Actinopteri,NA,0.027348309,0.027348309,0.428875606,8.13e-6,0.218337659,NA,0.007966314,49.7468625,NA,0.007966314,49.7468625,-3,2,2,2: low/mid,2,487,Ammodytes,Perciformes/Uranoscopoidei,Pacific,Both,,specialist,NA,NA,"polar, subtropical, Subtropical, temperate",elongated,NA,31,NA,planktonic,9.333333333333334,15,2885045.223853211,NA,NA
Amphichthys cryptocentrus,Batrachoididae,972500,sedentary,reef-associated,40,NA,3263.489613,0.57223899,3.75,Actinopteri,LC,0.218337659,0.218337659,69.37218463,0.020686774,0.419377278,NA,0.042511287,28.27429759,NA,0.042511287,28.27429759,-2,1,4,1: mid/low,1,967,Amphichthys,Batrachoidiformes,Atlantic,West,"nekton, zoobenthos",generalist,NA,NA,"Subtropical, tropical",elongated,NA,83,NA,2002-03-26T00:00:00Z,NA,23,2885045.223853211,400,5
Anarhichas denticulatus,Anarhichadidae,3635000,habitat_deep,benthopelagic,180,NA,25393.14083,0.100670808,4.05205074,Actinopteri,NA,0.25,0.25,69.37218463,0.007726488,7.78,NA,0.260037564,45.41195355,NA,0.260037564,45.41195355,-1,2,2,2: low/mid,2,3810,Anarhichas,Perciformes/Zoarcoidei,"Arctic Ocean, Atlantic",Both,"nekton, zoobenthos, zooplankton",generalist,NA,NA,"boreal, polar, Subtropical, temperate",elongated,NA,5,NA,in close association with substrate,NA,4,2885045.223853211,35.3,NA
Anarhichas lupus,Anarhichadidae,1955000,habitat_coastal,demersal,150,NA,81375.50792,0.104945385,3.55,Actinopteri,NA,0.029410133,0.029410133,69.37218463,0.0034,0.75925,NA,0.178161494,46.24625559,NA,0.178161494,46.24625559,-1,2,2,2: low/mid,2,2501,Anarhichas,Perciformes/Zoarcoidei,"Atlantic, Mediterranean and Black Sea",Both,"nekton, others, zoobenthos, zooplankton",generalist,NA,NA,"boreal, polar, subtropical, Subtropical, temperate, Temperate",elongated,NA,5,NA,in close association with substrate,NA,9,2885045.223853211,35.3,NA
Anchoa nasus,Engraulidae,865000,habitat_coastal,pelagic neritic,17,NA,7225.316677,1.296884333,3.33,Actinopteri,LC,0.020686774,0.020686774,1.207703124,8.13e-6,0.32,NA,0.01053902,45.03604219,NA,0.01053902,45.03604219,-2,2,2,2: low/mid,2,1163,Anchoa,Clupeiformes,Pacific,East,,specialist,NA,NA,"subtropical, Subtropical, tropical",elongated,NA,151,NA,planktonic,4.5,23,2885045.223853211,1897.86812375,16
Anodontostoma chacunda,Clupeidae,8597500,habitat_coastal,pelagic neritic,22,NA,116060.5257,1.401207267,2.931353828,Actinopteri,LC,0.0013065,0.0013065,69.37218463,8.13e-6,0.3026,NA,0.011600655,48.0516869,NA,0.011600655,48.0516869,-2,2,2,2: low/mid,2,1619,Anodontostoma,Clupeiformes,"Indian Ocean, Pacific",Both,"detritus, plants, zoobenthos, zooplankton",generalist,NA,NA,"subtropical, Subtropical, tropical, Tropical",fusiform / normal,NA,190,NA,2002-03-26T00:00:00Z,8.566666669315762,28,2885045.223853211,576.7602106451614,13.575
Anoplopoma fimbria,Anoplopomatidae,2682500,deep,bathydemersal,120,NA,951557.8095,0.035406384,3.84,Actinopteri,NA,0.040637322,0.040637322,220.625,0.0034,0.3026,NA,0.053184689,68.06949429,NA,0.053184689,68.06949429,-2,3,8,3: mid/high,3,512,Anoplopoma,Perciformes/Cottoidei,Pacific,Both,"nekton, zoobenthos, zooplankton",generalist,NA,NA,"boreal, polar, subtropical, Subtropical, temperate",fusiform / normal,5,2,NA,planktonic,94,9,2885045.223853211,39.06,NA
Antimora rostrata,Moridae,222710000,deep,bathypelagic,75,NA,486.5318366,0.11723796,3.622450288,Actinopteri,LC,23.22898081,23.22898081,537466.5429,5.55,91382,NA,605.7281747,59.05118314,NA,605.7281747,59.05118314,2,2,3,6: high/mid,6,2005,Antimora,Gadiformes,"Atlantic, Indian Ocean, Pacific",Both,"nekton, others, zoobenthos, zooplankton",generalist,NA,NA,"boreal, polar, subtropical, Subtropical, temperate, tropical, Tropical",elongated,NA,108,NA,2002-03-26T00:00:00Z,20,27,2885045.223853211,NA,NA
Aphanopus carbo,Trichiuridae,2627500,deep,bathypelagic,151,NA,84676.53886,0.346089063,4.462972912,Actinopteri,NA,0.04451615,0.04451615,220.625,0.0034,0.764606108,NA,0.153992976,47.82132679,NA,0.153992976,47.82132679,-1,2,2,2: low/mid,2,646,Aphanopus,Scombriformes,"Atlantic, Pacific",Both,"nekton, zooplankton",generalist,NA,NA,"polar, subtropical, Subtropical, temperate, Temperate, tropical",eel-like,NA,45,nocturnal,planktonic,15,17.5,2885045.223853211,NA,NA
Aphareus rutilans,Lutjanidae,9965000,habitat_reef,reef-associated,110,NA,1738.87445,0.312215755,4.117424722,Actinopteri,LC,0.025016,0.025016,39.83,0.0034,0.145837,NA,0.06631216,39.02680102,NA,0.06631216,39.02680102,-2,2,2,2: low/mid,2,83,Aphareus,Eupercaria/misc,"Atlantic, Indian Ocean, Pacific",Both,"nekton, zoobenthos",generalist,NA,NA,"subtropical, Subtropical, temperate, tropical, Tropical",fusiform / normal,NA,113,NA,2002-03-26T00:00:00Z,25.72,27,2885045.223853211,213.978125,9.5
Aphia minuta,Gobiidae,2717500,habitat_coastal,pelagic neritic,7.900000095,NA,40.81806963,1.70140334,3.174171555,Actinopteri,NA,0.020686774,0.020686774,5.523838677,8.13e-6,0.275045451,NA,0.010145803,36.33979585,NA,0.010145803,36.33979585,-2,2,2,2: low/mid,2,39,Aphia,Gobiiformes,"Atlantic, Mediterranean and Black Sea",East,"zoobenthos, zooplankton",generalist,NA,NA,"boreal, subtropical, Subtropical, temperate",elongated,NA,1947,NA,planktonic,1,10,2885045.223853211,131.74823539215686,3
Aplodactylus punctatus,Aplodactylidae,240000,habitat_coastal,demersal,43.70000076,NA,41.96266255,0.630179269,2.04,Actinopteri,NA,0.003297,0.003297,9.682782451,6.45e-6,0.060991803,NA,0.008592224,36.22505093,NA,0.008592224,36.22505093,-3,2,2,2: low/mid,2,12909,Aplodactylus,Centrarchiformes,Pacific,East,plants,specialist,NA,NA,"Subtropical, temperate, tropical",elongated,NA,5,NA,planktonic,NA,NA,2885045.223853211,NA,NA
Aprion virescens,Lutjanidae,12892500,habitat_reef,reef-associated,112,NA,113.3144342,0.58848637,4.28,Actinopteri,LC,0.027348309,0.027348309,220.625,0.00123027,8.5,NA,0.216639133,30.80563369,NA,0.216639133,30.80563369,-1,2,2,2: low/mid,2,84,Aprion,Eupercaria/misc,"Atlantic, Indian Ocean, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,NA,NA,"subtropical, Subtropical, temperate, tropical, Tropical",fusiform / normal,NA,113,NA,2002-03-26T00:00:00Z,25.72,26.714285714285715,2885045.223853211,213.978125,9.5
Apsilus fuscus,Lutjanidae,512500,habitat_reef,demersal,75,NA,3.139397329,0.591196273,4.005355048,Actinopteri,LC,0.029410133,0.029410133,7.849166287,0.002075459,0.341291664,NA,0.066938646,27.27816842,NA,0.066938646,27.27816842,-2,1,4,1: mid/low,1,86,Apsilus,Eupercaria/misc,"Atlantic, Indian Ocean",Both,"nekton, zoobenthos",generalist,NA,NA,"subtropical, Subtropical, tropical",fusiform / normal,NA,113,NA,2002-03-26T00:00:00Z,25.72,26.714285714285715,2885045.223853211,213.978125,9.5
Archosargus probatocephalus,Sparidae,2200000,habitat_reef,reef-associated,91,NA,6582.156033,0.609579594,3.575754586,Actinopteri,LC,0.145837,0.145837,69.37218463,0.020686774,0.32,NA,0.073670553,29.87434992,NA,0.073670553,29.87434992,-2,1,4,1: mid/low,1,441,Archosargus,Eupercaria/misc,Atlantic,West,zoobenthos,specialist,NA,NA,"Subtropical, temperate, Temperate, tropical, Tropical",fusiform / normal,NA,158,NA,2002-03-26T00:00:00Z,2,25,2885045.223853211,198.55641025641026,8
Arctoscopus japonicus,Trichodontidae,1677500,habitat_benthic,bathydemersal,30,NA,108251.2158,0.630179269,3.557076306,Actinopteri,NA,0.003297,0.003297,3.790022135,8.13e-6,0.218337659,NA,0.008237489,49.22814017,NA,0.008237489,49.22814017,-3,2,2,2: low/mid,2,463,Arctoscopus,Perciformes/Uranoscopoidei,Pacific,Both,"nekton, zoobenthos, zooplankton",generalist,NA,NA,"boreal, polar, subtropical, Subtropical, temperate",fusiform / normal,NA,2,NA,planktonic,6,5,2885045.223853211,NA,NA
Argentina silus,Argentinidae,2310000,pelagic oceanic,bathypelagic,70,NA,2785.434725,0.073400392,3.32,Actinopteri,NA,0.190553387,0.190553387,69.37218463,0.025016,0.764606108,NA,0.070593803,53.94832547,NA,0.070593803,53.94832547,-2,2,2,2: low/mid,2,2700,Argentina,Argentiniformes,Atlantic,Both,"nekton, zoobenthos, zooplankton",generalist,NA,NA,"boreal, polar, Subtropical, temperate, Temperate",elongated,NA,27,NA,planktonic,35,7,2885045.223853211,NA,7.800001144409229
Argentina sphyraena,Argentinidae,2555000,pelagic oceanic,bathydemersal,35,NA,5669.679004,0.227703191,3.49,Actinopteri,NA,0.218337659,0.218337659,69.37218463,0.020686774,0.419377278,NA,0.029892702,33.27998698,NA,0.029892702,33.27998698,-2,2,2,2: low/mid,2,20,Argentina,Argentiniformes,"Atlantic, Mediterranean and Black Sea",East,"nekton, zoobenthos, zooplankton",generalist,NA,NA,"boreal, polar, subtropical, Subtropical, temperate",elongated,NA,27,NA,planktonic,16,16,2885045.223853211,NA,7.800001144409229
Argyrops spinifer,Sparidae,13112500,habitat_coastal,demersal,80,NA,11308.83887,0.494486133,4.49,Actinopteri,LC,0.25,0.25,93840.98602,0.004279988,23.22898081,NA,1.953381073,32.64854032,NA,1.953381073,32.64854032,0,2,6,5: mid/mid,5,442,Argyrops,Eupercaria/misc,"Atlantic, Indian Ocean, Pacific",Both,"nekton, plants, zoobenthos, zooplankton",generalist,NA,NA,"subtropical, Subtropical, tropical, Tropical",short and / or deep,NA,158,NA,2002-03-26T00:00:00Z,20.41176470588235,22.142857142857142,2885045.223853211,198.55641025641026,8
Argyrosomus hololepidotus,Sciaenidae,347500,habitat_coastal,demersal,200,NA,81983.30163,0.227953054,4.48,Actinopteri,EN,0.003297,0.003297,24.63249455,6.45e-6,0.525706192,NA,0.036973996,39.22667388,NA,0.036973996,39.22667388,-2,2,2,2: low/mid,2,419,Argyrosomus,Eupercaria/misc,"Atlantic, Indian Ocean",Both,"nekton, zoobenthos",generalist,13,24,"tropical, Tropical",fusiform / normal,NA,286,nocturnal,planktonic,30,24,2885045.223853211,2784,11
Argyrosomus regius,Sciaenidae,1400000,migratory,benthopelagic,230,NA,35019.83379,0.149075294,4.285529247,Actinopteri,LC,0.04451615,0.04451615,359.0771463,0.0034,2.43042486,NA,0.255976844,50.3067819,NA,0.255976844,50.3067819,-1,2,2,2: low/mid,2,418,Argyrosomus,Eupercaria/misc,"Atlantic, Indian Ocean, Mediterranean and Black Sea",Both,"nekton, zoobenthos",generalist,NA,NA,"boreal, polar, subtropical, Subtropical, temperate, tropical, Tropical",fusiform / normal,NA,286,NA,planktonic,30,18,2885045.223853211,2784,11
Arripis trutta,Arripidae,930000,habitat_coastal,pelagic neritic,89,NA,45063.22021,0.285831282,4.07,Actinopteri,NA,0.04451615,0.04451615,7.78,0.015758747,0.331883112,NA,0.070717714,41.8810772,NA,0.070717714,41.8810772,-2,2,2,2: low/mid,2,5048,Arripis,Scombriformes,"Indian Ocean, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,NA,NA,"subtropical, Subtropical, temperate, Tropical",fusiform / normal,NA,4,NA,planktonic,26,15,2885045.223853211,NA,NA
Atheresthes evermanni,Pleuronectidae,1745000,habitat_benthic,demersal,100,NA,47522.58494,0.172236506,4.3,Actinopteri,NA,0.021204,0.021204,7.78,0.003297,0.04451615,NA,0.051019722000000003,54.73702402,NA,0.051019722000000003,54.73702402,-2,2,2,2: low/mid,2,518,Atheresthes,Pleuronectiformes,Pacific,Both,"nekton, zoobenthos, zooplankton",generalist,NA,NA,"boreal, polar, subtropical, Subtropical, temperate",short and / or deep,NA,67,NA,planktonic,33,5,2885045.223853211,137.51355371900826,6.84999996026357
Atheresthes stomias,Pleuronectidae,1287500,habitat_benthic,demersal,84,NA,3356654.472,0.192836543,4.17,Actinopteri,NA,0.04451615,0.04451615,4.17,0.007726488,0.331883112,NA,0.048054146,53.2907325,NA,0.048054146,53.2907325,-2,2,2,2: low/mid,2,517,Atheresthes,Pleuronectiformes,"Arctic Ocean, Pacific",Both,"nekton, others, zoobenthos, zooplankton",generalist,NA,NA,"boreal, polar, Subtropical, temperate",short and / or deep,NA,67,NA,planktonic,23,7,1295000,137.51355371900826,6.84999996026357
Atherina boyeri,Atherinidae,1385000,habitat_coastal,demersal,20,NA,5070.648817,0.812586347,3.286241238,Actinopteri,LC,0.020686774,0.020686774,1.207703124,8.13e-6,0.32,NA,0.010570616,37.62859705,NA,0.010570616,37.62859705,-2,2,2,2: low/mid,2,1696,Atherina,Atheriniformes,"Atlantic, Mediterranean and Black Sea",East,"zoobenthos, zooplankton",generalist,NA,NA,"subtropical, Subtropical, temperate, Temperate, Tropical",elongated,NA,69,NA,in close association with substrate,4,11,2885045.223853211,NA,4.142857142857143
Atractoscion aequidens,Sciaenidae,4040000,habitat_coastal,benthopelagic,130,NA,2288.230401,0.311853212,4.481651192,Actinopteri,VU,0.04451615,0.04451615,42.10249306,0.014020895,0.25,NA,0.074052187,38.08580397,NA,0.074052187,38.08580397,-2,2,2,2: low/mid,2,420,Atractoscion,Eupercaria/misc,"Atlantic, Indian Ocean, Pacific",Both,nekton,specialist,NA,NA,"subtropical, Subtropical, tropical, Tropical",fusiform / normal,NA,286,nocturnal,planktonic,20,25,2885045.223853211,525.6001112222223,7.125
Atractoscion nobilis,Sciaenidae,522500,habitat_coastal,demersal,166,NA,1870.644824,0.296616436,4.332225091,Actinopteri,LC,0.025016,0.025016,69.37218463,0.0034,7.78,NA,0.226850081,36.46230551,NA,0.226850081,36.46230551,-1,2,2,2: low/mid,2,3578,Atractoscion,Eupercaria/misc,Pacific,East,"nekton, zoobenthos, zooplankton",generalist,NA,NA,"boreal, subtropical, Subtropical, temperate, tropical",fusiform / normal,NA,286,NA,planktonic,20,12,2885045.223853211,525.6001112222223,7.125
Atrobucca nibe,Sciaenidae,9827500,habitat_coastal,demersal,45,NA,25016.42764,0.460821512,3.977337618,Actinopteri,NA,0.048,0.048,23.36565604,0.0013065,0.77,NA,0.069195712,27.85452849,NA,0.069195712,27.85452849,-2,1,4,1: mid/low,1,941,Atrobucca,Eupercaria/misc,"Indian Ocean, Pacific",Both,"nekton, zoobenthos",generalist,NA,NA,"subtropical, Subtropical, temperate, tropical, Tropical",fusiform / normal,NA,286,NA,2002-03-26T00:00:00Z,15.226086958594944,28,2885045.223853211,525.6001112222223,7.125
Atule mate,Carangidae,11757500,habitat_reef,reef-associated,30,NA,1356.375346,1.254655656,4.22,Actinopteri,LC,2.14e-4,2.14e-4,9.398965353,8.13e-6,0.024080979,NA,0.018833517,43.36994665,NA,0.018833517,43.36994665,-2,2,2,2: low/mid,2,1893,Atule,Carangiformes,"Indian Ocean, Pacific",Both,"nekton, plants, zoobenthos, zooplankton",generalist,NA,NA,"subtropical, Subtropical, temperate, tropical, Tropical",fusiform / normal,NA,147,diurnal,planktonic,20.363636363636363,27,2885045.223853211,6715.0254549090905,5.222222222222222
Austroglossus microlepis,Soleidae,307500,habitat_benthic,bathydemersal,75,NA,11375.11571,0.185580881,3.529058885,Actinopteri,DD,0.003297,0.003297,0.902079429,6.45e-6,0.025016,NA,0.007072819,53.50886061,NA,0.007072819,53.50886061,-3,2,2,2: low/mid,2,527,Austroglossus,Pleuronectiformes,Atlantic,East,"nekton, zoobenthos",generalist,NA,NA,"Subtropical, tropical",short and / or deep,NA,180,NA,2002-03-26T00:00:00Z,16.079999923706055,17,2885045.223853211,142.60999999999999,9.333333333333334
